date,open,high,low,close,adj_close,volume,garman_klass_volatility,dollar_volume,obv,macd,ma_3_days,ma_5_days,ma_10_days,ma_12_days,ma_20_days
2004-08-23,2.758410930633545,2.8264060020446777,2.7160699367523193,2.7247869968414307,2.7216899394989014,366857939,0.0007234340596978047,998.4735618016017,0,0.0,,,,,
2004-08-24,2.7706151008605957,2.779581069946289,2.5795810222625732,2.611959934234619,2.6089909076690674,306396159,0.0013924757751420432,799.3847929757259,-306396159,-0.009000449438719471,,,,,
2004-08-25,2.614201068878174,2.689918041229248,2.5873019695281982,2.640104055404663,2.6371030807495117,184645512,0.0007270247100279204,486.92924854177096,-121750647,-0.013704399310890292,2.6559279759724936,,,,
2004-08-26,2.6139519214630127,2.6886720657348633,2.606729030609131,2.687675952911377,2.6846210956573486,142572401,0.00020409087994624226,382.75287538311886,20821754,-0.013438745428882903,2.643571694691976,,,,
2004-08-27,2.6924080848693848,2.705359935760498,2.632383108139038,2.6438400745391846,2.6408348083496094,124826132,0.0002293841782062967,329.64519437724306,-104004378,-0.016574343135873804,2.6541863282521567,2.658647966384888,,,
2004-08-30,2.622170925140381,2.6274020671844482,2.540726900100708,2.540726900100708,2.537838935852051,104429967,0.0001498449092571488,265.0264363223448,-208434345,-0.02706767897962381,2.621098279953003,2.6218777656555177,,,
2004-08-31,2.547950029373169,2.5830678939819336,2.5444629192352295,2.5496931076049805,2.546794891357422,98825037,0.00011329533087432176,251.6870993698082,-109609308,-0.03426523690268146,2.5751562118530273,2.6094385623931884,,,
2004-09-01,2.5579121112823486,2.5646369457244873,2.482445001602173,2.4968910217285156,2.4940528869628906,183633734,0.0002835818762077274,457.9922444264755,-293243042,-0.04372599441200098,2.526228904724121,2.5808285236358643,,,
2004-09-02,2.470489978790283,2.5496931076049805,2.4642629623413086,2.528273105621338,2.5253992080688477,303810504,0.0003940597068985915,767.2428062045975,10567462,-0.04813655278355622,2.5220823287963867,2.548984146118164,,,
2004-09-03,2.5143260955810547,2.5340020656585693,2.4737279415130615,2.490912914276123,2.488081693649292,103538639,0.0002472384174533382,257.61259228126266,-92971177,-0.05402385391948039,2.5025112628936768,2.5184335231781008,2.5885407447814943,,
2004-09-07,2.515820026397705,2.540477991104126,2.4809510707855225,2.5300168991088867,2.5271410942077637,117506800,0.00027330111697542375,296.95626312885287,24535623,-0.05490134913709799,2.5135406653086343,2.5162939548492433,2.5690858602523803,,
2004-09-08,2.5090949535369873,2.566132068634033,2.5031180381774902,2.547950029373169,2.5450539588928223,100186120,0.00023085452717116304,254.97908133211135,124721743,-0.0535326258917892,2.520092248916626,2.5159457683563233,2.562692165374756,2.5798002084096274,
2004-09-09,2.553678035736084,2.5581610202789307,2.515571117401123,2.548198938369751,2.545302391052246,81620792,0.00013676251535408839,207.74959703717803,206342535,-0.05183034997175717,2.539165814717611,2.5261956691741942,2.5535120964050293,2.5651012460390725,
2004-09-10,2.53051495552063,2.6540520191192627,2.523042917251587,2.6234169006347656,2.6204349994659424,174804764,0.0008103034454257147,458.0645216589842,381147299,-0.04390570546658257,2.5702637831370034,2.5452028274536134,2.5470934867858888,2.5660549203554788,
2004-09-13,2.655795097351074,2.7001290321350098,2.6515610218048096,2.677464008331299,2.6744205951690674,157628624,0.00014586271933246682,421.56523841376116,538775923,-0.03288513829765849,2.6133859952290854,2.5824706077575685,2.5504520654678347,2.5691647132237754,
2004-09-14,2.6762189865112305,2.789544105529785,2.6597800254821777,2.7768421173095703,2.7736856937408447,217608605,0.0006402178155382948,603.5778745234024,756384528,-0.015948432952825442,2.6895137627919516,2.6317795276641847,2.574036741256714,2.5765867630640664,
2004-09-15,2.753679037094116,2.845086097717285,2.7447121143341064,2.789544105529785,2.7863733768463135,215279909,0.0005912050509107915,599.850207007497,971664437,-0.0014839219220381672,2.744826555252075,2.680043411254883,2.597994589805603,2.5887149771054587,
2004-09-16,2.7980120182037354,2.8841888904571533,2.780827045440674,2.8386099338531494,2.835383415222168,186207345,0.0005979514179159736,527.9692178055525,1157871782,0.013779666152631265,2.798480828603109,2.7380596160888673,2.6321276426315308,2.6135103503863015,
2004-09-17,2.849817991256714,2.9262819290161133,2.8281490802764893,2.9262819290161133,2.9229557514190674,190350817,0.0003337025702526215,556.3870153374684,1348222599,0.03257506193749338,2.8482375144958496,2.798563766479492,2.671883296966553,2.644857088724772,
2004-09-20,2.912832021713257,3.0286478996276855,2.90834903717041,2.9728569984436035,2.969477891921997,213585582,0.0006780690416309954,634.2376637822929,1561808181,0.05064496375246952,2.9092723528544107,2.857575225830078,2.7200229167938232,2.684475839138031,2.654281830787659
